ID,Apa hambatan utama Anda saat mencari lokasi-lokasi tadi?,"Ketika kesulitan mencari gedung, ruangan, atau fasilitas di kampus, mana tindakan yang Anda lakukan?",Bagaimana tampilan antarmuka pengguna yang Anda harapkan jika dibuat suatu aplikasi sistem navigasi untuk multikampus ITB?
36,"Tata letak kampus rumit, Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas","Mencari informasi di internet, Bertanya ke orang lain, Melakukan eksplorasi sendiri",
37,"Tata letak kampus rumit, Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas","Bertanya ke orang lain, Melakukan eksplorasi sendiri","Lancar, minimalist, ga ada iklan"
38,"Tata letak kampus rumit, Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas","Mencari informasi di internet, Bertanya ke orang lain, Melakukan eksplorasi sendiri",Tidak susah dioperasikan dan cukup simpel
39,"Tata letak kampus rumit, Tidak ada peta/denah/petunjuk yang jelas","Bertanya ke orang lain, Melakukan eksplorasi sendiri",Mungkin bisa disesuaikan dengan ciri khas tertentu dari masing-masing multikampus
40,Tata letak kampus rumit,"Bertanya ke orang lain, Melakukan eksplorasi sendiri",Menampilkan denah ataupun peta yang dibuat sendiri dengan proporsi dan skala yang tepat
41,"Tata letak kampus rumit, Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas, Informasi tersebar di banyak sumber","Mencari informasi di internet, Bertanya ke orang lain, Melakukan eksplorasi sendiri",
42,"Tata letak kampus rumit, Tidak ada peta/denah/petunjuk yang jelas",Mencari informasi di internet,
43,"Tata letak kampus rumit, Tidak ada peta/denah/petunjuk yang jelas","Bertanya ke orang lain, Melakukan eksplorasi sendiri",
44,Tidak ada peta/denah/petunjuk yang jelas,"Bertanya ke orang lain, Melakukan eksplorasi sendiri",Tidak ada
45,"Tata letak kampus rumit, Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas","Bertanya ke orang lain, Melakukan eksplorasi sendiri",Sederhana tapi penuh dengan fitur
46,Tata letak kampus rumit,"Mencari informasi di internet, Bertanya ke orang lain, Melakukan eksplorasi sendiri",
47,"Tata letak kampus rumit, Tidak ada peta/denah/petunjuk yang jelas","Mencari informasi di internet, Bertanya ke orang lain, Melakukan eksplorasi sendiri",Jangan information dumping di UI & menu-menu juga jangan terlalu rumit/masuk di akal
48,"Tata letak kampus rumit, Penomoran ruangan tidak konsisten",Melakukan eksplorasi sendiri,
49,"Tata letak kampus rumit, Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas, Rendahnya aksesibilitas untuk disabilitas","Mencari informasi di internet, Bertanya ke orang lain","Simpel dan minimalis, warna cerah dan ringan."
50,"Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas","Bertanya ke orang lain, Melakukan eksplorasi sendiri","Nyaman digunakan pengguna, aksesnya mudah"
51,"Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas","Mencari informasi di internet, Bertanya ke orang lain, Melakukan eksplorasi sendiri",
52,"Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas, Informasi tersebar di banyak sumber","Mencari informasi di internet, Bertanya ke orang lain","Mudah dinavigasikan antara menu (peta kampus, peta lantai, etc), adanya opsi mengaktifkan petunjuk lokasi2 seperti toilet, jalur teduh, mushola, kantin, adanya opsi text-to-speech dengan petunjuk yang jelas atau link ke google maps bagi pengguna tunanetra"
53,Tata letak kampus rumit,Bertanya ke orang lain,
54,"Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas","Mencari informasi di internet, Bertanya ke orang lain, Melakukan eksplorasi sendiri",
55,"Tidak ada peta/denah/petunjuk yang jelas, Informasi tersebar di banyak sumber",Melakukan eksplorasi sendiri,dibuat simple dan ada marker live location temoat kita berada biar tau kita sebetulnya ada di gedubg apa dan lantai berapa
56,"Tata letak kampus rumit, Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas, Informasi tersebar di banyak sumber","Mencari informasi di internet, Bertanya ke orang lain, Google Maps","Pokoknya yang mudah dibaca, arahnya jelas. Kalau bisa ada list tempat karena jujur dari aku pribadi gak tau banyak nama tempat di kampusnya, jadi mungkin bisa dikasih fitur ini. "
57,"Tata letak kampus rumit, Penomoran ruangan tidak konsisten, Informasi tersebar di banyak sumber","Mencari informasi di internet, Bertanya ke orang lain, Melakukan eksplorasi sendiri","Menyesuaikan dengan lokasi saat ini dan dapat mengetahui daerah, bisa mencari nama ruangan, bisa memberikan rute terbaik untuk dijalankan antara 2 titik pada kampus"
58,"Tata letak kampus rumit, Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas","Bertanya ke orang lain, Melakukan eksplorasi sendiri",
59,Penomoran ruangan tidak konsisten,"Mencari informasi di internet, Melakukan eksplorasi sendiri","Turatur, yang penting clean dengan nuansa biru"
60,"Tata letak kampus rumit, Penomoran ruangan tidak konsisten, Tidak ada peta/denah/petunjuk yang jelas, Informasi tersebar di banyak sumber","Mencari informasi di internet, Bertanya ke orang lain, Melakukan eksplorasi sendiri, Google Maps","easy to use, ga bikin sakit mata"
